"id","src_store_id","storeverse_store_id","match_method","match_confidence","store_name","province","city","district","address","has_hospital","has_business_district","is_mature_community","is_cbd","has_metro","has_school","has_office","has_cinema","has_fitness","has_park","has_bank","has_gas_station","has_hotel","has_dining_cluster","has_hypermarket","has_university","is_transport_hub","has_scenic","is_industrial_park","has_edu_kids","is_waterfront","has_night_economy","has_government","poi_one_liner","data_source","created_at"
"1","327676","","unmatched","0","永辉超市(信万广场店)","河南","郑州市","金水区","河南省郑州市金水区丰庆路与国基路交叉路口西南角信万广场负1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","否","否","否","否","是","弱","否","否","成熟社区 + 区域商圈 + 家庭亲子 + 学校医疗 + 弱地铁 + 非 CBD","external_poi","2026/8/27 12:00:10"
"2","327677","75888","coord_nn","99","永辉超市(瀚海海尚店)","河南","郑州市","金水区","河南省郑州市金水区东风路32号瀚海海尚B2","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","否","否","是","否","是","是","成熟社区 + 区域商圈 + 高校科技 + 医疗地铁 + 写字楼 + 夜经济 + 非 CBD","external_poi","2026/8/27 12:00:10"
"3","327678","90656","coord_nn","99","永辉超市(闽江世纪金源店)","福建","福州市","仓山区","福建省福州市仓山区潘墩路188-11号世纪金源购物中心负1层MJ-SP-0-B1-001号","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","否","否","否","是","是","否","否","是","成熟社区 + 区域商圈 + 会展/产业园 + 家庭亲子 + 强地铁 + 非 CBD","external_poi","2026/8/27 12:00:10"
"4","327679","59158","coord_nn","96","永辉超市(中贸广场店)","陕西","西安市","碑林区","陕西省西安市碑林区长安北路130号中贸广场B1","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","核心商圈 + CBD/写字楼 + 高校 + 景区文旅 + 强地铁 + 夜经济","external_poi","2026/8/27 12:00:10"
"5","327680","8897","coord_nn","99","永辉超市(东风大道店)","安徽","合肥市","肥东","安徽省合肥市肥东县撮镇镇东风大道东铁路北路北永辉华东生活广场101室","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","否","是","是","否","否","是","成熟社区 + 产业园区 + 物流/仓储 + 家庭亲子 + 弱地铁 + 非商圈","external_poi","2026/8/27 12:00:11"
"6","327681","49779","coord_nn","99","永辉超市(公园道店)","福建","福州市","仓山区","桔园四路33号永辉超市公园道店B1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","否","是","是","是","是","成熟社区 + 区域商圈 + 公园湿地 + 学校亲子 + 地铁可达 + 非 CBD","external_poi","2026/8/27 12:00:11"
"7","327683","156152","coord_nn","99","永辉超市(裕华广场店)","河南","郑州市","惠济区","河南省郑州市惠济区长兴路裕华广场负1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 地铁紧邻 写字楼 高校","external_poi","2026/8/27 12:00:11"
"8","327684","52773","coord_nn","93","永辉超市(金源购物中心店)","贵州","贵阳市","观山湖区","贵州省贵阳市观山湖区北京西路1号世纪金源购物中心停车场B1","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","CBD核心 近地铁 高校 景区","external_poi","2026/8/27 12:00:11"
"9","327685","133510","coord_nn","87","永辉超市(锦江文华广场店)","四川","成都市","锦江区","四川省成都市锦江区沙河街道东大路66号负一楼b101(汇泉南路499号)","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 地铁紧邻 写字楼 高校","external_poi","2026/8/27 12:00:11"
"10","327686","101824","coord_nn","99","永辉超市(喜隆多店)","北京","北京市","石景山区","北京市石景山区古城街道阜石路300号二层209号","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:11"
"11","327687","60975","coord_nn","99","永辉超市(长乐万星店)","福建","福州市","长乐","福建省福州市长乐区吴航路988号万星广场B1","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","是","否","是","是","CBD核心 地铁紧邻 景区 产业园","external_poi","2026/8/27 12:00:11"
"12","327688","","unmatched","0","永辉超市(五四北店)","福建","福州市","晋安区","福建省福州市晋安区秀峰路421号(五四in象正对面)","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 景区","external_poi","2026/8/27 12:00:11"
"13","327689","193216","coord_nn","99","永辉超市(卓悦汇店)","广东","深圳市","福田区","广东省深圳市福田区中康路126号卓悦汇INJOY购物中心B2","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","CBD核心 地铁紧邻 高校 景区","external_poi","2026/8/27 12:00:11"
"14","327690","36575","coord_nn","91","永辉超市(南坪万达广场店)","重庆","重庆市","南岸区","重庆市南岸区江南大道8号附127号万达广场(南坪店)B1","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","CBD核心 地铁紧邻 高校 景区","external_poi","2026/8/27 12:00:11"
"15","327691","21142","coord_nn","99","永辉超市(金地广场店)","陕西","西安市","雁塔区","陕西省西安市雁塔区曲江街道曲江新区曲江池东路999号西安金地广场B1层","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","CBD核心 近地铁 高校 景区","external_poi","2026/8/27 12:00:11"
"16","327692","84799","coord_nn","99","永辉超市(华润万象汇店)","安徽","合肥市","庐阳区","安徽省合肥市庐阳区临泉路华润万象汇负一楼B139号","是","是","是","是","是","是","是","是","否","是","是","否","是","是","否","否","否","否","否","是","否","否","否","CBD核心 地铁紧邻","external_poi","2026/8/27 12:00:11"
"17","327693","211298","coord_nn","98","永辉超市(沈北吾悦店)","辽宁","沈阳市","沈北新区","辽宁省沈阳市沈北新区蒲河路33-1号沈阳沈北吾悦广场B1","是","是","是","否","是","是","是","是","是","是","是","是","是","是","否","是","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:11"
"18","327694","185492","coord_nn","71","永辉超市(滨湖方圆荟店)","安徽","合肥市","包河区","安徽省合肥市包河区滨湖新区徽州大道5558号方圆荟(合肥滨湖店)F1","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 地铁紧邻 写字楼 高校","external_poi","2026/8/27 12:00:11"
"19","327695","47624","coord_nn","99","永辉超市(中海寰宇城店)","甘肃","兰州市","安宁区","甘肃省兰州市安宁区蓝科路与莫高大道交汇处莫高大道1131-1149号","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:11"
"20","327696","160326","name_fuzzy","40","永辉超市(龙湖锦艺城店)","河南","郑州市","新郑市","河南省郑州市新郑市郑新快速通道辅路龙湖锦艺城购物中心负一层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:11"
"21","327697","105537","coord_nn","99","永辉超市(仁怀酒都方圆荟店)","贵州","遵义市","仁怀","贵州省遵义市仁怀市国酒南路酒都方圆荟购物广场负1层","是","是","是","否","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 写字楼 高校","external_poi","2026/8/27 12:00:11"
"22","327698","101253","coord_nn","99","永辉超市(临平万达店)","浙江","杭州市","临平区","浙江省杭州市临平区荷禹路105号临平万达广场(万宝城)-1F","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","是","否","是","是","CBD核心 近地铁 景区 产业园","external_poi","2026/8/27 12:00:11"
"23","327699","38617","coord_nn","99","永辉超市(盛华里店)","河南","郑州市","管城回族区","河南省郑州市管城回族区航海东路经开万锦城负1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","否","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 景区","external_poi","2026/8/27 12:00:12"
"24","327700","178589","coord_nn","99","永辉超市(银泰in77店)","安徽","合肥市","蜀山区","安徽省合肥市蜀山区祁门路33号合肥银泰in77B1层西北侧","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","CBD核心 地铁紧邻 高校 景区","external_poi","2026/8/27 12:00:12"
"25","327701","67954","coord_nn","98","永辉超市(华阳城店)","陕西","西安市","灞桥区","陕西省西安市灞桥区长乐东路999号华阳城购物中心负1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 地铁紧邻 写字楼 高校","external_poi","2026/8/27 12:00:12"
"26","327702","39252","coord_nn","61","永辉超市(房山印象城店)","北京","北京市","房山区","北京市房山区长阳广阳新路9号院1号楼中粮·万科半岛广场B1","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","否","否","否","是","是","否","否","是","成熟商圈 弱地铁 写字楼 产业园","external_poi","2026/8/27 12:00:12"
"27","327703","181149","coord_nn","89","永辉超市(南沙万达店)","广东","广州市","南沙区","广东省广州市南沙区双山大道3号万达广场(广州南沙店)B1","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"28","327704","","unmatched","0","永辉超市(新世界店)","贵州","贵阳市","观山湖区","贵州省贵阳市观山湖区金阳新世界碧潭园2A、2C地块珑玥组团G4栋","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"29","327705","18884","coord_nn","99","永辉超市(大儒世家店)","福建","福州市","鼓楼区","福建省福州市鼓楼区金牛山北侧甘洪路东侧大儒世家","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"30","327706","205628","coord_nn","91","永辉超市(爱琴海店)","四川","成都市","郫都区","四川省成都市郫都区犀浦街道国宁东路919号成都后花园1号楼B1层","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","否","是","是","否","是","是","成熟商圈 弱地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"31","327707","190570","coord_nn","73","永辉超市(滨江龙湖店)","四川","成都市","成华区","四川省成都市成华区跳蹬河街道杉板桥路龙湖滨江天街1栋B1-Z1","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 近地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"32","327708","195934","city_name_addr","91","永辉超市(渝北吾悦店)","重庆","重庆市","大足区","重庆市两江新区仙桃街道同茂大道369号吾悦广场B馆-1F-Z01号","是","是","是","否","是","是","是","是","是","是","是","是","是","是","是","是","否","是","是","是","否","是","是","成熟商圈 近地铁 写字楼 高校","external_poi","2026/8/27 12:00:12"
"33","327709","113240","coord_nn","99","永辉超市(宝安大仟里店)","广东","深圳市","宝安区","广东省深圳市宝安区西乡街道海城路3号前城滨海花园2栋负1楼","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","无周边配套","external_poi","2026/8/27 12:00:13"
