sg_store_id,sg_store_name,sg_retail_id,sg_retailer_name,sg_business_type,province,city,district,address,platform_cnt,platforms,a1_wx_pay,a2_ali_peng,a3_douyin,a4_mt_local,a5_cyb,a6_mt_home,a7_elm_home,a8_jd_home,a9_top10_brand,a10_24h,a11_peak_weekday,a12_peak_weekend,a13_data_date,b1_roi_total,b2_roi_store,b3_roi_home,b4_order_store,b5_order_home,b6_mech_store,b7_mech_home,b8_top_sku_upc,b8_top_sku_name,b8_top_sku_gmv,b9_top_sku_upc_qty,b9_top_sku_name_qty,b10_aov_store,b11_aov_home,b12_sku_act_store,b13_sku_supply,b14_sku_combo,b15_post_sku,b16_post_compete
2916,永辉超市(北关正街店),647,永辉超市,大型商超,陕西,西安,莲湖区,北关正街50号静安荟奥莱生活广场负1层,1,到家-京东,否,否,否,否,否,否,否,是,"景兴,康师傅,妙可蓝多",,,,2026-06-06,7.1500,,7.1500,否,否,,优惠券,,,,,,,,,,,,
36575,永辉超市(南岸万达广场店),647,永辉超市,大型商超,重庆,重庆,南岸区,江南大道8号万达广场AB区UG层,1,到家-淘宝闪购,否,否,否,否,否,否,是,否,"嘉士伯,海天,景兴,康师傅,伊利低温,舒客",,下午14-17:59,下午14-17:59,2026-08-31,5.8700,,5.8700,否,是,,商品满减券,6921336821319,,139.80,6923567600497,abc纤薄棉柔表层日用240mm卫生巾12片/包,,21.06,,294,,,
12480,永辉超市(呼和浩特玉泉凯德店),647,永辉超市,大型商超,内蒙古,呼和浩特,玉泉区,鄂尔多斯大街凯德广场诺和木勒B1层01号,1,到家-淘宝闪购,否,否,否,否,否,否,是,否,"伊利低温,海天,康师傅,伊利奶粉,溜溜梅,太粮米业,蒙牛冰品,景兴,妙可蓝多,舒客",,下午14-17:59,下午14-17:59,2026-09-01,5.6200,,5.6200,否,是,,商品满减券,6978336070490,海天品质永辉珍鲜蚝油630g,208.50,6978336070490,海天品质永辉珍鲜蚝油630g,,17.57,,90,,,
117209,永辉超市(天娱广场店),647,永辉超市,大型商超,广东,广州,天河区,天河路621-625号天河娱乐广场负1层,1,到家-淘宝闪购,否,否,否,否,否,否,是,否,"伊利奶粉,伊利低温,康师傅,海天,锐澳,太粮米业,妙可蓝多,溜溜梅,脉动总部,舒客",,下午14-17:59,下午14-17:59,2026-09-01,10.4200,,10.4200,否,是,,商品满减券,6927096515871,,54.90,6937962143909,康师傅PREMIUM优选鲜虾鱼板面杯,,20.70,,276,,,
47276,永辉超市(孝感吾悦店),647,永辉超市,大型商超,湖北,孝感,孝南区,乾坤大道133号孝感吾悦广场负1楼,1,到家-京东,否,否,否,否,否,否,否,是,"海天,伊利低温,伊利奶粉,康师傅,妙可蓝多",,晚18-22:59,下午14-17:59,2026-08-30,6.3000,,6.3000,否,是,,优惠券,6977168342348,海天永辉定制&油趣工坊有机山茶油1L,178.00,6907992105772,金典鲜牛奶２３５毫升　　　　　,,47.48,,,,,
173522,永辉超市(宜昌兴发店),647,永辉超市,大型商超,湖北,宜昌,伍家岗区,中南路35号,1,到家-京东,否,否,否,否,否,否,否,是,"海天,伊利低温,太粮米业,妙可蓝多,康师傅",,晚18-22:59,晚18-22:59,2026-09-01,5.5500,,5.5500,否,是,,优惠券,6907992106908,畅轻蓝莓紫米爆珠发酵乳２５０ｇ,275.90,6907992106908,畅轻蓝莓紫米爆珠发酵乳２５０ｇ,,30.99,,,,,
113240,永辉超市(宝安大仟里店),647,永辉超市,大型商超,广东,深圳,宝安区,西乡街道麻布社区海城路3号前城滨海花园2栋B178永辉超市宝安大仟里负一楼永辉超市,1,到家-京东,否,否,否,否,否,否,否,是,"太粮米业,海天,伊利低温,康师傅,景兴,嘉士伯,妙可蓝多",,晚18-22:59,下午14-17:59,2026-08-31,7.7200,,7.7200,否,是,,优惠券,6923567601166,ABC 420mm亲柔立围甜睡夜用轻透薄棉柔表层卫生巾 6片/袋,83.30,6907992105574,畅轻青提芦荟燕麦风味发酵乳250g/杯,,16.63,,,,,
32788,永辉超市(小寨西路店),647,永辉超市,大型商超,陕西,西安,雁塔区,小寨西路232号MOMOPARK负1层,1,到家-京东,否,否,否,否,否,否,否,是,"海天,伊利奶粉,伊利低温,太粮米业,康师傅,嘉士伯,妙可蓝多,景兴",,晚18-22:59,晚18-22:59,2026-08-30,6.8400,,6.8400,否,是,,优惠券,6977168342348,海天永辉定制&油趣工坊有机山茶油1L,178.00,6907992106601,金典鲜牛奶４５０ｍｌ　　　　　,,19.74,,,,,
13090,永辉超市(曲江龙湖店),647,永辉超市,大型商超,陕西,西安,雁塔区,永辉超市(曲江天街店),1,到家-京东,否,否,否,否,否,否,否,是,"太粮米业,海天,伊利低温,康师傅,景兴,妙可蓝多,嘉士伯",,午10-13:59,下午14-17:59,2026-09-01,6.6600,,6.6600,否,是,,优惠券,6927096515871,,359.10,6907992106601,金典鲜牛奶４５０ｍｌ　　　　　,,27.24,,,,,
224539,永辉超市(武汉五里墩店),647,永辉超市,大型商超,湖北,武汉,汉阳区,汉阳大道与江城大道交汇处(万科金域国际对面)负1楼,1,到家-京东,否,否,否,否,否,否,否,是,"伊利低温,太粮米业,康师傅,海天",,晚18-22:59,下午14-17:59,2026-08-29,4.1900,,4.1900,否,是,,优惠券,6907992106601,金典鲜牛奶４５０ｍｌ　　　　　,4043.90,6907992106601,金典鲜牛奶４５０ｍｌ　　　　　,,55.15,,,,,
